entity_uuid,competitor_uuid,created_at,updated_at
6b0105ab-a0b8-864c-571d-7016f5de678f,a0f5537c-5fc9-3a79-b787-9d9f9ff5bade,2016-10-21 09:43:15.185158,2016-10-21 09:43:15.184625
6b0105ab-a0b8-864c-571d-7016f5de678f,a0f5537c-5fc9-3a79-b787-9d9f9ff5bade,2016-10-21 09:43:15.185158,2016-10-21 09:43:15.184625
6b0105ab-a0b8-864c-571d-7016f5de678f,a0f5537c-5fc9-3a79-b787-9d9f9ff5bade,2016-10-21 09:43:15.185158,2016-10-21 09:43:15.184625
6b0105ab-a0b8-864c-571d-7016f5de678f,a0f5537c-5fc9-3a79-b787-9d9f9ff5bade,2016-10-21 09:43:15.185158,2016-10-21 09:43:15.184625
6b0105ab-a0b8-864c-571d-7016f5de678f,a0f5537c-5fc9-3a79-b787-9d9f9ff5bade,2016-10-21 09:43:15.185158,2016-10-21 09:43:15.184625
6b0105ab-a0b8-864c-571d-7016f5de678f,a0f5537c-5fc9-3a79-b787-9d9f9ff5bade,2016-10-21 09:43:15.185158,2016-10-21 09:43:15.184625
6b0105ab-a0b8-864c-571d-7016f5de678f,a0f5537c-5fc9-3a79-b787-9d9f9ff5bade,2016-10-21 09:43:15.185158,2016-10-21 09:43:15.184625
6b0105ab-a0b8-864c-571d-7016f5de678f,a0f5537c-5fc9-3a79-b787-9d9f9ff5bade,2016-10-21 09:43:15.185158,2016-10-21 09:43:15.184625
6b0105ab-a0b8-864c-571d-7016f5de678f,a0f5537c-5fc9-3a79-b787-9d9f9ff5bade,2016-10-21 09:43:15.185158,2016-10-21 09:43:15.184625
6b0105ab-a0b8-864c-571d-7016f5de678f,a0f5537c-5fc9-3a79-b787-9d9f9ff5bade,2016-10-21 09:43:15.185158,2016-10-21 09:43:15.184625
6b0105ab-a0b8-864c-571d-7016f5de678f,98662b66-ebce-d555-bb6f-34cbd5de440f,2016-10-21 09:41:14.984773,2016-10-21 09:41:14.984545
6b0105ab-a0b8-864c-571d-7016f5de678f,98662b66-ebce-d555-bb6f-34cbd5de440f,2016-10-21 09:41:14.984773,2016-10-21 09:41:14.984545
6b0105ab-a0b8-864c-571d-7016f5de678f,98662b66-ebce-d555-bb6f-34cbd5de440f,2016-10-21 09:41:14.984773,2016-10-21 09:41:14.984545
6b0105ab-a0b8-864c-571d-7016f5de678f,98662b66-ebce-d555-bb6f-34cbd5de440f,2016-10-21 09:41:14.984773,2016-10-21 09:41:14.984545
6b0105ab-a0b8-864c-571d-7016f5de678f,98662b66-ebce-d555-bb6f-34cbd5de440f,2016-10-21 09:41:14.984773,2016-10-21 09:41:14.984545
6b0105ab-a0b8-864c-571d-7016f5de678f,98662b66-ebce-d555-bb6f-34cbd5de440f,2016-10-21 09:41:14.984773,2016-10-21 09:41:14.984545
6b0105ab-a0b8-864c-571d-7016f5de678f,98662b66-ebce-d555-bb6f-34cbd5de440f,2016-10-21 09:41:14.984773,2016-10-21 09:41:14.984545
6b0105ab-a0b8-864c-571d-7016f5de678f,98662b66-ebce-d555-bb6f-34cbd5de440f,2016-10-21 09:41:14.984773,2016-10-21 09:41:14.984545
