event_uuid,relationship_to_event,entity_uuid,type,relationship_detail,created_at,updated_at
aa8d52eb-ab6c-520a-cfc5-23f2ef91c36e,speaker,0265bbf0-7900-247c-6eb2-e058d34d5b9b,Person,,2016-09-20 16:58:25.510178,2016-09-20 16:58:25.509703
aa8d52eb-ab6c-520a-cfc5-23f2ef91c36e,speaker,e265d0a1-b8b6-dafc-18ec-b2bb2ccd1464,Person,,2016-09-20 16:58:08.675959,2016-09-20 16:58:08.67552
aa8d52eb-ab6c-520a-cfc5-23f2ef91c36e,speaker,afad146f-af18-e945-9d2a-cd379c99a0f5,Person,,2016-09-20 16:57:10.81649,2016-09-20 16:57:10.816095
aa8d52eb-ab6c-520a-cfc5-23f2ef91c36e,speaker,a40db5fe-e751-0b34-5754-c44c5471b558,Person,,2016-09-20 16:56:55.726147,2016-09-20 16:56:55.725642
aa8d52eb-ab6c-520a-cfc5-23f2ef91c36e,speaker,21d45512-db30-2a87-640d-4fae5001f150,Person,,2016-09-20 16:55:08.97671,2016-09-20 16:55:08.976334
aa8d52eb-ab6c-520a-cfc5-23f2ef91c36e,speaker,837a2622-4269-1a2f-d7c3-ac46c736a3bd,Person,,2016-09-20 16:54:33.734204,2016-09-20 16:54:33.733854
aa8d52eb-ab6c-520a-cfc5-23f2ef91c36e,speaker,28d698b9-2fe0-e82d-1f9e-eb90b48acccf,Person,,2016-09-20 16:53:21.564641,2016-09-20 16:53:21.564224
aa8d52eb-ab6c-520a-cfc5-23f2ef91c36e,speaker,569e46e6-c471-060c-7fc2-3c2d35ddc7bd,Person,,2016-09-20 16:52:47.906704,2016-09-20 16:52:47.906416
aa8d52eb-ab6c-520a-cfc5-23f2ef91c36e,speaker,8df021b5-c030-a3a8-9d4b-300a2df8abb1,Person,,2016-09-20 16:52:02.596589,2016-09-20 16:52:02.596046
aa8d52eb-ab6c-520a-cfc5-23f2ef91c36e,speaker,9d8f8ee6-d99d-5da5-2efd-21834b1722e9,Person,,2016-09-20 16:51:33.035701,2016-09-20 16:51:33.035196
aa8d52eb-ab6c-520a-cfc5-23f2ef91c36e,speaker,41779bb0-75d4-e4a4-8ede-fa8252902381,Person,,2016-09-20 16:51:08.874809,2016-09-20 16:51:08.874508
aa8d52eb-ab6c-520a-cfc5-23f2ef91c36e,speaker,21d75e14-1bf3-ef0b-349d-a1f54f1b276c,Person,,2016-09-20 16:50:15.084486,2016-09-20 16:50:15.084144
aa8d52eb-ab6c-520a-cfc5-23f2ef91c36e,speaker,2a6bc699-705d-562b-04ef-0582f6f4c331,Person,,2016-09-20 16:49:42.577575,2016-09-20 16:49:42.577234
bf01988d-8df5-535b-95f9-8ad4cf5d4438,speaker,d13a80b1-a5c1-e1ab-c091-4506fffd6823,Person,,2016-09-20 05:30:49.407337,2016-09-20 05:30:49.407029
bf01988d-8df5-535b-95f9-8ad4cf5d4438,speaker,af6fef90-b691-cdec-7838-5997b5eebfc8,Person,,2016-09-20 05:30:20.125625,2016-09-20 05:30:20.125198
bf01988d-8df5-535b-95f9-8ad4cf5d4438,speaker,3bd44305-4637-9ce1-66af-1863b2df9aee,Person,,2016-09-20 05:26:32.751879,2016-09-20 05:26:32.751566
bf01988d-8df5-535b-95f9-8ad4cf5d4438,speaker,f9ded0a9-6dea-70b8-8ae0-c6fbe09c3f0d,Person,,2016-09-20 05:25:31.444887,2016-09-20 05:25:31.444266
bf01988d-8df5-535b-95f9-8ad4cf5d4438,speaker,9c9d85dc-4477-9c86-57fe-b90301a526f0,Person,,2016-09-20 05:22:22.433204,2016-09-20 05:22:22.432846
bf01988d-8df5-535b-95f9-8ad4cf5d4438,speaker,fe73e532-a1e3-7bbf-cc69-5df480427e51,Person,,2016-09-20 05:18:11.471872,2016-09-20 05:18:11.471511
bf01988d-8df5-535b-95f9-8ad4cf5d4438,speaker,db37c39d-5fd7-42b9-4715-9437345b9ddf,Person,,2016-09-20 05:17:05.299613,2016-09-20 05:17:05.299204
bf01988d-8df5-535b-95f9-8ad4cf5d4438,speaker,45f789f9-c883-6cf8-6204-4b80ebd4c5b0,Person,,2016-09-20 05:12:47.895252,2016-09-20 05:12:47.894852
bf01988d-8df5-535b-95f9-8ad4cf5d4438,speaker,bd65986d-ed71-ab9b-6ae9-fa66dee88291,Person,,2016-09-20 05:07:38.007757,2016-09-20 05:07:38.007208
bf01988d-8df5-535b-95f9-8ad4cf5d4438,speaker,afddd2e3-788f-8846-5699-ae3d7c2085ef,Person,,2016-09-20 05:06:25.319495,2016-09-20 05:06:25.318978
bf01988d-8df5-535b-95f9-8ad4cf5d4438,organizer,10f9a25b-9675-2281-486e-a52955c706df,Organization,,2016-09-20 05:05:24.158059,2016-09-20 05:05:24.157653
bf01988d-8df5-535b-95f9-8ad4cf5d4438,organizer,56e40f50-97c7-2a77-255d-1d97d5f30646,Organization,,2016-09-20 05:04:33.035387,2016-09-20 05:04:33.035074
bf01988d-8df5-535b-95f9-8ad4cf5d4438,ntinmarket,90b4194f-1d4f-ff5c-d7a6-6b6f32ae4892,Market,,2016-09-20 05:03:15.292971,2016-09-20 05:03:15.292646
bf01988d-8df5-535b-95f9-8ad4cf5d4438,venue,24ebd227-f80a-c71d-1e11-9993308578d5,Address,,2016-09-20 05:00:03.353221,2016-09-20 05:00:03.352899
bf01988d-8df5-535b-95f9-8ad4cf5d4438,venue,e2998410-067b-e879-26aa-eab20fb6becf,Address,,2016-09-20 05:00:02.673254,2016-09-20 05:00:02.672862
3f1c4d95-f066-2f5a-2cbf-a534e1b63a3e,speaker,82eff352-7a83-2a46-ba77-feebbcf9c45a,Person,,2016-09-19 15:33:08.728107,2016-09-19 15:33:08.727546
3f1c4d95-f066-2f5a-2cbf-a534e1b63a3e,speaker,c35ae99b-6d98-09ce-2586-bbf93da2c00e,Person,,2016-09-19 15:31:55.636827,2016-09-19 15:31:55.636428
