entity_uuid,fund_uuid,fund_name,started_on,announced_on,raised_amount,raised_amount_currency_code,created_at,updated_at
01a2a666-577c-1673-eba6-74c02aaf2e80,dfdbdae4-04f4-0f73-6bdd-37d89d8d4648,Crowdcube Venture Fund,2014-01-27,2014-01-27,5000000,GBP,2014-01-29 04:47:56,2016-10-05 09:38:37.822418
56e40f50-97c7-2a77-255d-1d97d5f30646,785b5d04-e07c-dfbe-4b17-4068f6e61fcd,500 Luchadores,,2014-01-01,,USD,2016-08-03 08:27:18.634273,2016-08-03 08:27:18.633524
c06fab5e-2646-a238-a280-1ce83e63f507,fa646baa-ab80-bfc3-2598-7ad5ac8fed12,Angel Capital Entrepreneur Fund,,2014-01-01,,USD,2015-09-03 05:14:23,2015-09-03 05:14:45
34a9bb66-0984-8de0-e7fb-13e976b4a135,924f367f-ff9d-7e7e-23ae-d4ba4772cc43,General Catalyst Group VII,2013-12-10,2013-12-23,675000000,USD,2013-12-24 03:54:05,2016-02-04 14:29:14.630079
e2006571-6b7a-e477-002a-f7014f48a7e3,05e4586c-15d8-43a5-24de-4e5d52401b57,Greylock Fund XIV,2013-09-10,2013-09-10,1000000000,USD,2009-11-02 19:31:56,2016-10-11 04:17:46.653894
6f2acf2a-5cbf-adb1-cbb4-5829ab0b08cd,bbff920d-f034-1c48-3d1c-13639b93a069,Atlas Venture Fund IX,2013-05-01,2013-05-01,265000000,USD,2014-05-05 14:43:45,2016-05-06 04:53:32.213526
d29973c3-95ec-691d-defd-6a6ba713c72a,6afe42eb-f812-1e83-20fd-c39d2561e54d,Redpoint Ventures V,2013-01-16,2013-01-16,400000000,USD,2013-01-17 02:37:25,2016-06-13 22:00:17.697692
3718597a-dd39-6661-3630-09cdd43bcac2,c9c26fc0-0497-d7e3-f701-cbbf2ef2dc5d,Techstars Seattle 2013 Fund,,2013-01-15,,USD,2016-02-29 20:58:04.811204,2016-02-29 20:58:04.810517
043d9e52-dcc0-0dd8-6074-206e42e20e13,22520f2d-8c41-2b4c-3581-203091c9c6be,First Round Capital IV,2012-04-16,2012-06-27,135000000,USD,2012-04-17 02:24:52,2016-01-28 09:11:54.567966
b08efc27-da40-505a-6f9d-c9e14247bf36,3b0518c5-2ae0-ef80-2d00-1c8c1c12ab0a,Accel Europe Fund,,2012-06-12,500000000,USD,2015-08-09 05:01:06,2015-08-09 05:06:40
2d0a5bf0-e53e-9a07-2243-9bcd561421ec,532000cb-bd8f-a026-fccd-94bcaae3d0b0,KPCB XV LLC,,2012-05-23,,USD,2016-07-16 08:51:17.123659,2016-07-16 08:52:04.083049
60b5dade-24ed-84b0-99e2-1ecda554a1ab,d54b3418-61ed-aaed-6cbe-9b55d8bff1a7,Index Life VI,2012-03-21,2012-03-21,150000000,EUR,2015-10-10 11:49:03.344181,2015-10-10 11:49:38.252274
3bfb69a8-61b6-ec30-1512-73bd1ca35bc5,3a925a63-1256-4575-0b05-e2b90d84a7ad,Fund I,,2012-01-01,,USD,2016-02-26 22:50:57.252629,2016-02-26 22:50:57.25199
b51ff078-c9d9-9f51-681d-4f9ac888e070,9642b7b2-efff-71c0-fcc4-2381f8aedbac,Highland Europe Fund I,,2012-01-01,200000000,EUR,2014-05-31 11:52:38,2014-09-10 23:17:28
47b84763-9727-7cdf-b194-2742e3963147,f244520b-5c29-110b-009c-efaa1d16ec3d,NEA 14,2012-07-25,2012-01-01,2600000000,USD,2012-07-25 13:13:48,2014-07-09 19:29:25
34a9bb66-0984-8de0-e7fb-13e976b4a135,346a162c-2d73-b72e-afd5-4792173bf732,General Catalyst Group VI,2011-12-15,2011-12-28,500000000,USD,2012-01-04 04:09:45,2016-02-04 14:28:12.918718
2d0a5bf0-e53e-9a07-2243-9bcd561421ec,0a12d047-0cde-9aac-ff33-3f706a4e5c2e,KPCB China Fund II,2011-11-03,2011-11-03,250000000,USD,2011-11-04 02:06:33,2016-07-16 09:34:44.997606
b08efc27-da40-505a-6f9d-c9e14247bf36,974e60c1-af86-040f-21eb-476234763c96,Big Data Fund 2,2013-06-17,2011-11-01,100000000,USD,2013-06-18 04:55:54,2016-09-08 08:59:27.683358
fe5a4983-a46a-2fc2-5633-e35e0a86b694,d5db65e6-5d79-9363-928d-a465f11573c2,Khosla Ventures IV,2011-10-13,2011-10-13,1050000000,USD,2011-05-21 04:01:52,2016-07-11 17:56:34.100908
add1bcfe-41e3-7828-253b-d7c8694ed4ca,054d9993-27ad-7cb0-8957-a266cee20f90,Polaris Venture Partners VI,2011-05-01,2011-05-01,389000000,USD,2014-02-13 17:29:11,2016-09-06 15:20:50.367208
